t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
1.162947916984558105e+01,2.358906941766623078e-01,-2.843359975861930317e-02,2.947162707357935396e-01,2.468419151064515094e-01,-2.688269962455204151e-02,2.943177407900268716e-01,-1.095122092978920159e-02,-1.550900134067261654e-03,3.985299457666680034e-04
1.164899992942810059e+01,2.356719668007530577e-01,-2.831042520305308494e-02,2.947162707357935396e-01,2.468419151064515094e-01,-2.688269962455204151e-02,2.943177407900268716e-01,-1.116994830569845165e-02,-1.427725578501043424e-03,3.985299457666680034e-04
1.166923069953918457e+01,2.354529598835759518e-01,-2.818145125491668471e-02,2.947162707357935396e-01,2.468419151064515094e-01,-2.688269962455204151e-02,2.943177407900268716e-01,-1.138895522287555750e-02,-1.298751630364643195e-03,3.985299457666680034e-04
1.168907952308654785e+01,2.352399142057896575e-01,-2.805043842249616351e-02,2.947162707357935396e-01,2.463847538039669605e-01,-2.703219237806539846e-02,2.943381009815850824e-01,-1.114483959817730296e-02,-1.018246044430765052e-03,3.781697542084572206e-04
1.170903015136718750e+01,2.350273394304919217e-01,-2.791412563436832667e-02,2.947162707357935396e-01,2.455155724027879294e-01,-2.731641661195981230e-02,2.943768109505405794e-01,-1.048823297229600771e-02,-5.977090224085143677e-04,3.394597852529601667e-04
1.172946262359619141e+01,2.348148605256681065e-01,-2.777215536261866749e-02,2.947162707357935396e-01,2.455155724027879294e-01,-2.731641661195981230e-02,2.943768109505405794e-01,-1.070071187711982286e-02,-4.557387506588551906e-04,3.394597852529601667e-04
1.174935960769653320e+01,2.346052684314828274e-01,-2.762637006204926929e-02,2.947162707357935396e-01,2.455155724027879294e-01,-2.731641661195981230e-02,2.943768109505405794e-01,-1.091030397130510199e-02,-3.099534500894569888e-04,3.394597852529601667e-04
1.176947069168090820e+01,2.343976622352783867e-01,-2.747619751398518162e-02,2.947162707357935396e-01,2.455155724027879294e-01,-2.731641661195981230e-02,2.943768109505405794e-01,-1.111791016750954264e-02,-1.597809020253693202e-04,3.394597852529601667e-04
1.178933167457580566e+01,2.341934156133695932e-01,-2.732270706088775480e-02,2.947162707357935396e-01,2.449728474807980894e-01,-2.738969878251823475e-02,2.943654732432094412e-01,-1.077943186742849613e-02,6.699172163047995010e-05,3.507974925840984248e-04
1.180904150009155273e+01,2.339925965929683938e-01,-2.716608837226109838e-02,2.947162707357935396e-01,2.439415243074305184e-01,-2.752895459633729336e-02,2.943439285530179972e-01,-9.948927714462124650e-03,3.628662240761949820e-04,3.723421827755424296e-04
1.182908844947814941e+01,2.337912406193063397e-01,-2.700322178579166871e-02,2.947162707357935396e-01,2.439415243074305184e-01,-2.752895459633729336e-02,2.943439285530179972e-01,-1.015028368812417869e-02,5.257328105456246514e-04,3.723421827755424296e-04
1.184908652305603027e+01,2.335920666331273710e-01,-2.683622313243851087e-02,2.947162707357935396e-01,2.439415243074305184e-01,-2.752895459633729336e-02,2.943439285530179972e-01,-1.034945767430314745e-02,6.927314638987824846e-04,3.723421827755424296e-04
1.186913967132568359e+01,2.333943689889685369e-01,-2.666450350499221383e-02,2.947162707357935396e-01,2.439415243074305184e-01,-2.752895459633729336e-02,2.943439285530179972e-01,-1.054715531846198151e-02,8.644510913450795253e-04,3.723421827755424296e-04
1.188911294937133789e+01,2.332001033517605570e-01,-2.648982147336554835e-02,2.947162707357935396e-01,2.433996769276801087e-01,-2.756194574965488767e-02,2.943566480107938088e-01,-1.019957357591955160e-02,1.072124276289339317e-03,3.596227249997308029e-04
1.190962886810302734e+01,2.330018056381346903e-01,-2.630526519247412126e-02,2.947162707357935396e-01,2.423094210690226180e-01,-2.762832753820379864e-02,2.943822409431900988e-01,-9.307615430887927754e-03,1.323062345729677375e-03,3.340297926034407894e-04
1.193058562278747559e+01,2.328033253221793164e-01,-2.611403305340165293e-02,2.947162707357935396e-01,2.423094210690226180e-01,-2.762832753820379864e-02,2.943822409431900988e-01,-9.506095746843301608e-03,1.514294484802145707e-03,3.340297926034407894e-04
1.194907212257385254e+01,2.326272780443968957e-01,-2.593880999316211869e-02,2.947162707357935396e-01,2.423094210690226180e-01,-2.762832753820379864e-02,2.943822409431900988e-01,-9.682143024625722294e-03,1.689517545041679947e-03,3.340297926034407894e-04
