t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
9.298948454856872559e+01,2.668694567649907978e-01,3.013197157149080999e-02,3.058868077805763086e-01,2.714111146451314016e-01,1.125718858928145827e-02,3.040671992811156410e-01,-4.541657880140603787e-03,1.887478298220935172e-02,1.819608499460667606e-03
9.300958967208862305e+01,2.669464356249485748e-01,3.048045882406789225e-02,3.058868077805763086e-01,2.714111146451314016e-01,1.125718858928145827e-02,3.040671992811156410e-01,-4.464679020182826807e-03,1.922327023478643399e-02,1.819608499460667606e-03
9.302966594696044922e+01,2.670249660963099902e-01,3.082357627070422129e-02,3.058868077805763086e-01,2.714111146451314016e-01,1.125718858928145827e-02,3.040671992811156410e-01,-4.386148548821411364e-03,1.956638768142276302e-02,1.819608499460667606e-03
9.304958724975585938e+01,2.671061150249868787e-01,3.116605573565229409e-02,3.058868077805763086e-01,2.713104936883196650e-01,1.192222590855386219e-02,3.040632408341488735e-01,-4.204378663332786203e-03,1.924382982709843190e-02,1.823566946427435109e-03
9.306972217559814453e+01,2.671897995760187383e-01,3.150739337770477183e-02,3.058868077805763086e-01,2.712713001177081140e-01,1.218126923270947473e-02,3.040616989518649116e-01,-4.081500541689375705e-03,1.932612414499529710e-02,1.825108828711397013e-03
9.308955550193786621e+01,2.672748643559778037e-01,3.184297879885885502e-02,3.058868077805763086e-01,2.712713001177081140e-01,1.218126923270947473e-02,3.040616989518649116e-01,-3.996435761730310343e-03,1.966170956614938028e-02,1.825108828711397013e-03
9.310984206199645996e+01,2.673629771343800643e-01,3.217938786202218654e-02,3.058868077805763086e-01,2.712713001177081140e-01,1.218126923270947473e-02,3.040616989518649116e-01,-3.908322983328049727e-03,1.999811862931271181e-02,1.825108828711397013e-03
9.312961554527282715e+01,2.674532549962524985e-01,3.251309308668832998e-02,3.058868077805763086e-01,2.712713001177081140e-01,1.218126923270947473e-02,3.040616989518649116e-01,-3.818045121455615476e-03,2.033182385397885525e-02,1.825108828711397013e-03
9.315067100524902344e+01,2.675507823716932188e-01,3.286200938093926383e-02,3.058868077805763086e-01,2.710638965015915725e-01,1.345834255952821010e-02,3.040516276322215994e-01,-3.513114129898353699e-03,1.940366682141105373e-02,1.835180148354709218e-03
9.316958975791931152e+01,2.676405285658904898e-01,3.317318052020658270e-02,3.058868077805763086e-01,2.710124281429582282e-01,1.377525539459088268e-02,3.040491283783464116e-01,-3.371899577067738463e-03,1.939792512561570176e-02,1.837679402229897008e-03
9.318968272209167480e+01,2.677379631199161003e-01,3.350097224399129631e-02,3.058868077805763086e-01,2.710124281429582282e-01,1.377525539459088268e-02,3.040491283783464116e-01,-3.274465023042127942e-03,1.972571684940041536e-02,1.837679402229897008e-03
9.320954370498657227e+01,2.678369590256047816e-01,3.382399407491874094e-02,3.058868077805763086e-01,2.710124281429582282e-01,1.377525539459088268e-02,3.040491283783464116e-01,-3.175469117353446613e-03,2.004873868032786000e-02,1.837679402229897008e-03
9.322973608970642090e+01,2.679389822895297257e-01,3.414698947109966881e-02,3.058868077805763086e-01,2.710124281429582282e-01,1.377525539459088268e-02,3.040491283783464116e-01,-3.073445853428502517e-03,2.037173407650878787e-02,1.837679402229897008e-03
