t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
3.290010118484497070e+01,3.855143756813059208e-01,-6.102899853713979195e-02,4.106221313700086917e-01,3.613479546783139318e-01,-8.037668330671206285e-02,4.128497832584611116e-01,2.416642100299198903e-02,1.934768476957227090e-02,-2.227651888452419904e-03
3.291978693008422852e+01,3.851625146516249876e-01,-6.130614247510293713e-02,4.106221313700086917e-01,3.613479546783139318e-01,-8.037668330671206285e-02,4.128497832584611116e-01,2.381455997331105578e-02,1.907054083160912572e-02,-2.227651888452419904e-03
3.294002437591552734e+01,3.848078506921405739e-01,-6.158805150058967171e-02,4.106221313700086917e-01,3.613479546783139318e-01,-8.037668330671206285e-02,4.128497832584611116e-01,2.345989601382664214e-02,1.878863180612239114e-02,-2.227651888452419904e-03
3.295991778373718262e+01,3.844580008613106559e-01,-6.186859832302109286e-02,4.106221313700086917e-01,3.613479546783139318e-01,-8.037668330671206285e-02,4.128497832584611116e-01,2.311004618299672408e-02,1.850808498369096999e-02,-2.227651888452419904e-03
3.297984123229980469e+01,3.841042069980363238e-01,-6.215474587620348212e-02,4.106221313700086917e-01,3.613482666439823410e-01,-8.037693805473117292e-02,4.128491997884050080e-01,2.275594035405398285e-02,1.822219217852769080e-02,-2.227068418396316307e-03
3.299974298477172852e+01,3.837508040126487163e-01,-6.244297425166189797e-02,4.106221313700086917e-01,3.613493373290035948e-01,-8.037781236532323681e-02,4.128471972839224402e-01,2.240146668364512150e-02,1.793483811366133884e-02,-2.225065913913748528e-03
3.301997303962707520e+01,3.833949291284892702e-01,-6.273558865643868998e-02,4.106221313700086917e-01,3.613493373290035948e-01,-8.037781236532323681e-02,4.128471972839224402e-01,2.204559179948567538e-02,1.764222370888454683e-02,-2.225065913913748528e-03
3.304023051261901855e+01,3.830391255395826922e-01,-6.303047146584497828e-02,4.106221313700086917e-01,3.613493373290035948e-01,-8.037781236532323681e-02,4.128471972839224402e-01,2.168978821057909734e-02,1.734734089947825852e-02,-2.225065913913748528e-03
3.305999326705932617e+01,3.826829425170500953e-01,-6.332794909303235409e-02,4.106221313700086917e-01,3.613493373290035948e-01,-8.037781236532323681e-02,4.128471972839224402e-01,2.133360518804650052e-02,1.704986327229088272e-02,-2.225065913913748528e-03
3.307984447479248047e+01,3.823251847552369131e-01,-6.362898856552209881e-02,4.106221313700086917e-01,3.613562622688346604e-01,-8.035724290402367076e-02,4.128545130204223090e-01,2.096892248640225276e-02,1.672825433850157195e-02,-2.232381650413617358e-03
3.309969329833984375e+01,3.819681048272151047e-01,-6.393165331342968993e-02,4.106221313700086917e-01,3.613793785341353204e-01,-8.028857961797462861e-02,4.128789338110611107e-01,2.058872629307978430e-02,1.635692630454493868e-02,-2.256802441052419006e-03
